experiment_id,split,threshold,pr_auc_ap,precision,recall,f1,false_positive_rate,tn,fp,fn,tp,precision_at_5pct_known,recall_at_5pct_known,notes
diagnostic_named_xgboost_degree_only,validation,0.6808847188949585,0.7587746091565961,0.8784530386740331,0.6127167630057804,0.7219069239500568,0.011053887702549932,7873,88,402,636,0.7982456140350878,0.35067437379576105,Post-hoc structural ablation; same splits and learner; not used to retune or select final policy.
diagnostic_named_xgboost_degree_only,test,0.6808847188949585,0.46831292582285133,0.7309782608695652,0.4229559748427673,0.5358565737051793,0.00938566552901024,10449,99,367,269,0.374113475177305,0.33176100628930816,Post-hoc structural ablation; same splits and learner; not used to retune or select final policy.
diagnostic_named_xgboost_without_component,validation,0.6460310816764832,0.7791284509170088,0.8854447439353099,0.6329479768786127,0.7382022471910111,0.010677050621781183,7876,85,381,657,0.8048245614035088,0.3535645472061657,Post-hoc structural ablation; same splits and learner; not used to retune or select final policy.
diagnostic_named_xgboost_without_component,test,0.6460310816764832,0.5056714746613025,0.7518796992481203,0.4716981132075472,0.5797101449275363,0.00938566552901024,10449,99,336,300,0.38120567375886527,0.3380503144654088,Post-hoc structural ablation; same splits and learner; not used to retune or select final policy.
