scope,capacity_fraction,reviewed,known_illicit,known_licit,unknown,precision_at_k_known,recall_at_k_known,precision_lower_bound_all,precision_upper_bound_all,experiment_id,split
all_transactions,0.2,9333,454,3028,5851,0.13038483630097644,0.7138364779874213,0.04864459444980178,0.6755598414229079,named_logistic_tx,test
labeled_only,0.01,96,10,86,0,0.10416666666666667,0.009633911368015413,0.10416666666666667,0.10416666666666667,named_logistic_graph,validation
labeled_only,0.02,185,11,174,0,0.05945945945945946,0.010597302504816955,0.05945945945945946,0.05945945945945946,named_logistic_graph,validation
labeled_only,0.05,456,40,416,0,0.08771929824561403,0.038535645472061654,0.08771929824561403,0.08771929824561403,named_logistic_graph,validation
labeled_only,0.1,905,170,735,0,0.1878453038674033,0.16377649325626203,0.1878453038674033,0.1878453038674033,named_logistic_graph,validation
labeled_only,0.2,1804,488,1316,0,0.270509977827051,0.4701348747591522,0.270509977827051,0.270509977827051,named_logistic_graph,validation
all_transactions,0.01,368,11,218,139,0.048034934497816595,0.010597302504816955,0.029891304347826088,0.4076086956521739,named_logistic_graph,validation
all_transactions,0.02,732,24,367,341,0.061381074168797956,0.023121387283236993,0.03278688524590164,0.49863387978142076,named_logistic_graph,validation
all_transactions,0.05,1821,122,708,991,0.14698795180722893,0.11753371868978806,0.06699615595826469,0.6112026359143328,named_logistic_graph,validation
all_transactions,0.1,3637,368,980,2289,0.27299703264094954,0.35452793834296725,0.10118229309870773,0.7305471542480066,named_logistic_graph,validation
all_transactions,0.2,7269,584,1719,4966,0.2535822839774208,0.5626204238921002,0.0803411748521117,0.7635163021048287,named_logistic_graph,validation
labeled_only,0.01,117,4,113,0,0.03418803418803419,0.006289308176100629,0.03418803418803419,0.03418803418803419,named_logistic_graph,test
labeled_only,0.02,229,5,224,0,0.021834061135371178,0.007861635220125786,0.021834061135371178,0.021834061135371178,named_logistic_graph,test
labeled_only,0.05,564,12,552,0,0.02127659574468085,0.018867924528301886,0.02127659574468085,0.02127659574468085,named_logistic_graph,test
labeled_only,0.1,1125,86,1039,0,0.07644444444444444,0.13522012578616352,0.07644444444444444,0.07644444444444444,named_logistic_graph,test
labeled_only,0.2,2243,318,1925,0,0.14177440927329468,0.5,0.14177440927329468,0.14177440927329468,named_logistic_graph,test
all_transactions,0.01,471,6,289,176,0.020338983050847456,0.009433962264150943,0.012738853503184714,0.386411889596603,named_logistic_graph,test
all_transactions,0.02,938,7,513,418,0.013461538461538462,0.0110062893081761,0.007462686567164179,0.453091684434968,named_logistic_graph,test
all_transactions,0.05,2337,52,953,1332,0.051741293532338306,0.08176100628930817,0.022250748823277707,0.5922122379118528,named_logistic_graph,test
all_transactions,0.1,4670,249,1459,2962,0.14578454332552693,0.3915094339622642,0.053319057815845824,0.6875802997858672,named_logistic_graph,test
all_transactions,0.2,9333,398,2590,6345,0.13319946452476572,0.6257861635220126,0.04264438015643416,0.7224900889317476,named_logistic_graph,test
labeled_only,0.01,96,94,2,0,0.9791666666666666,0.0905587668593449,0.9791666666666666,0.9791666666666666,named_xgboost_tx,validation
